#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa04120	Ubiquitin mediated proteolysis	6	134	1.9	1.74e-08	9606.ENSP00000216225,9606.ENSP00000231487,9606.ENSP00000301764,9606.ENSP00000326804,9606.ENSP00000384109,9606.ENSP00000414095	RBX1,SKP1,DDB1,CUL1,CUL4B,CUL2
hsa05170	Human immunodeficiency virus 1 infection	5	203	1.64	9.20e-06	9606.ENSP00000216225,9606.ENSP00000231487,9606.ENSP00000301764,9606.ENSP00000326804,9606.ENSP00000384109	RBX1,SKP1,DDB1,CUL1,CUL4B
hsa04110	Cell cycle	4	120	1.78	5.33e-05	9606.ENSP00000216225,9606.ENSP00000231487,9606.ENSP00000235310,9606.ENSP00000326804	RBX1,SKP1,MAD2L2,CUL1
hsa04114	Oocyte meiosis	4	121	1.77	5.33e-05	9606.ENSP00000216225,9606.ENSP00000231487,9606.ENSP00000235310,9606.ENSP00000326804	RBX1,SKP1,MAD2L2,CUL1
hsa04710	Circadian rhythm	3	30	2.25	5.33e-05	9606.ENSP00000216225,9606.ENSP00000231487,9606.ENSP00000326804	RBX1,SKP1,CUL1
hsa03420	Nucleotide excision repair	3	46	2.07	0.00013	9606.ENSP00000216225,9606.ENSP00000301764,9606.ENSP00000384109	RBX1,DDB1,CUL4B
hsa04350	TGF-beta signaling pathway	3	91	1.77	0.00081	9606.ENSP00000216225,9606.ENSP00000231487,9606.ENSP00000326804	RBX1,SKP1,CUL1
hsa04310	Wnt signaling pathway	3	154	1.54	0.0033	9606.ENSP00000216225,9606.ENSP00000231487,9606.ENSP00000326804	RBX1,SKP1,CUL1
hsa04141	Protein processing in endoplasmic reticulum	3	163	1.52	0.0034	9606.ENSP00000216225,9606.ENSP00000231487,9606.ENSP00000326804	RBX1,SKP1,CUL1
hsa05200	Pathways in cancer	4	515	1.14	0.0045	9606.ENSP00000216225,9606.ENSP00000231487,9606.ENSP00000326804,9606.ENSP00000414095	RBX1,SKP1,CUL1,CUL2
hsa05131	Shigellosis	3	218	1.39	0.0066	9606.ENSP00000216225,9606.ENSP00000231487,9606.ENSP00000326804	RBX1,SKP1,CUL1
hsa05211	Renal cell carcinoma	2	65	1.74	0.0172	9606.ENSP00000216225,9606.ENSP00000414095	RBX1,CUL2
hsa04066	HIF-1 signaling pathway	2	102	1.55	0.0380	9606.ENSP00000216225,9606.ENSP00000414095	RBX1,CUL2
